scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,chelator,dose_mg_L,texture,texture_sites,moisture,pe,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol
23,5.0,Low,25,20,30,EDTA,50,Loam,0.5,Dry,12,0.00012066,9.183e-05,76.10641471904525,0.003089,0.00031471,0.0001607,51.062883289377524,0.01079,0.00045886,0.0004541,98.96264655886327,7.834e-05
24,5.0,Low,25,20,30,EDTA,200,Loam,0.5,Dry,12,0.00012066,1.551e-06,1.2854301342615615,6.072e-05,0.00031471,8.083e-07,0.25683963013568045,6.312e-05,0.00045886,0.0002058,44.850281131499806,4.13e-05
25,5.0,Low,25,20,30,Citrate,50,Loam,0.5,Dry,12,0.00012066,6.708e-05,55.5942317255097,0.002336,0.00031471,0.0001308,41.56207301960536,0.009088,0.00045886,0.0004283,93.34001656278603,7.65e-05
26,5.0,Low,25,20,30,Citrate,200,Loam,0.5,Dry,12,0.00012066,4.744e-06,3.931708934195259,0.000189,0.00031471,6.004e-06,1.9077881223983986,0.0004773,0.00045886,0.0001386,30.20529137427538,2.832e-05
27,5.0,Low,25,20,30,DTPA,50,Loam,0.5,Dry,12,0.00012066,0.000107,88.67893253770927,0.003506,0.00031471,0.0001866,59.29268215182232,0.0122,0.00045886,0.0004549,99.13699167502071,7.644e-05
28,5.0,Low,25,20,30,DTPA,200,Loam,0.5,Dry,12,0.00012066,6.444e-05,53.40626553953257,0.002406,0.00031471,1.051e-06,0.3339582472752693,7.834e-05,0.00045886,0.00031,67.55873251100553,5.937e-05
29,5.0,Low,25,20,30,None,0,Loam,0.5,Mesic,8,0.00012066,0.0001071,88.76181004475386,0.003269,0.00031471,0.0003119,99.10711448635251,0.01899,0.00045886,0.0004554,99.2459573726191,7.127e-05
30,5.0,Low,25,20,30,EDTA,50,Loam,0.5,Mesic,8,0.00012066,9.183e-05,76.10641471904525,0.003089,0.00031471,0.0001607,51.062883289377524,0.01079,0.00045886,0.0004541,98.96264655886327,7.834e-05
31,5.0,Low,25,20,30,EDTA,200,Loam,0.5,Mesic,8,0.00012066,1.551e-06,1.2854301342615615,6.072e-05,0.00031471,8.083e-07,0.25683963013568045,6.312e-05,0.00045886,0.0002058,44.850281131499806,4.13e-05
32,5.0,Low,25,20,30,Citrate,50,Loam,0.5,Mesic,8,0.00012066,6.708e-05,55.5942317255097,0.002336,0.00031471,0.0001308,41.56207301960536,0.009088,0.00045886,0.0004283,93.34001656278603,7.651e-05
33,5.0,Low,25,20,30,Citrate,200,Loam,0.5,Mesic,8,0.00012066,4.744e-06,3.931708934195259,0.000189,0.00031471,6.004e-06,1.9077881223983986,0.0004773,0.00045886,0.0001386,30.20529137427538,2.832e-05
34,5.0,Low,25,20,30,DTPA,50,Loam,0.5,Mesic,8,0.00012066,0.000107,88.67893253770927,0.003506,0.00031471,0.0001866,59.29268215182232,0.0122,0.00045886,0.0004549,99.13699167502071,7.644e-05
35,5.0,Low,25,20,30,DTPA,200,Loam,0.5,Mesic,8,0.00012066,6.444e-05,53.40626553953257,0.002406,0.00031471,1.051e-06,0.3339582472752693,7.834e-05,0.00045886,0.00031,67.55873251100553,5.937e-05
36,5.0,Low,25,20,30,None,0,Loam,0.5,Wet,3,0.00012066,0.0001077,89.25907508702139,0.003847,0.00031471,7.834e-05,24.89275841250675,0.005584,0.00045886,0.0004556,99.28954365165846,8.347e-05
37,5.0,Low,25,20,30,EDTA,50,Loam,0.5,Wet,3,0.00012066,7.201e-05,59.680092822807886,0.002661,0.00031471,4.546e-05,14.445044644275685,0.003351,0.00045886,0.0004516,98.4178180708713,8.556e-05
38,5.0,Low,25,20,30,EDTA,200,Loam,0.5,Wet,3,0.00012066,1.518e-06,1.2580805569368474,5.942e-05,0.00031471,7.842e-07,0.249181786406533,6.125e-05,0.00045886,0.0002033,44.30545264350783,4.081e-05
39,5.0,Low,25,20,30,Citrate,50,Loam,0.5,Wet,3,0.00012066,4.854e-05,40.22874191944306,0.001822,0.00031471,4.519e-05,14.359251374281085,0.003384,0.00045886,0.0004038,88.00069738046463,7.772e-05
40,5.0,Low,25,20,30,Citrate,200,Loam,0.5,Wet,3,0.00012066,4.547e-06,3.7684402453174206,0.0001814,0.00031471,5.427e-06,1.7244447268914238,0.000432,0.00045886,0.0001343,29.268186374929172,2.749e-05
41,5.0,Low,25,20,30,DTPA,50,Loam,0.5,Wet,3,0.00012066,0.0001069,88.59605503066467,0.003875,0.00031471,4.645e-05,14.759619967589208,0.00336,0.00045886,0.0004536,98.85368086126488,8.434e-05
42,5.0,Low,25,20,30,DTPA,200,Loam,0.5,Wet,3,0.00012066,6.38e-05,52.875849494447216,0.002383,0.00031471,1.015e-06,0.3225191446093229,7.567e-05,0.00045886,0.0003076,67.03569716253324,5.893e-05
43,5.0,Low,25,20,30,None,0,Clay,1.5,Dry,12,0.00012066,0.0001071,88.76181004475386,0.009799,0.00031471,0.0003119,99.10711448635251,0.05693,0.00045886,0.0004554,99.2459573726191,0.0002137
44,5.0,Low,25,20,30,EDTA,50,Clay,1.5,Dry,12,0.00012066,9.183e-05,76.10641471904525,0.009262,0.00031471,0.0001607,51.062883289377524,0.03234,0.00045886,0.0004541,98.96264655886327,0.0002349
45,5.0,Low,25,20,30,EDTA,200,Clay,1.5,Dry,12,0.00012066,1.551e-06,1.2854301342615615,0.000182,0.00031471,8.083e-07,0.25683963013568045,0.0001892,0.00045886,0.0002058,44.850281131499806,0.0001238
46,5.0,Low,25,20,30,Citrate,50,Clay,1.5,Dry,12,0.00012066,6.708e-05,55.5942317255097,0.007004,0.00031471,0.0001308,41.56207301960536,0.02725,0.00045886,0.0004283,93.34001656278603,0.0002294
47,5.0,Low,25,20,30,Citrate,200,Clay,1.5,Dry,12,0.00012066,4.744e-06,3.931708934195259,0.0005667,0.00031471,6.004e-06,1.9077881223983986,0.001431,0.00045886,0.0001386,30.20529137427538,8.491e-05
48,5.0,Low,25,20,30,DTPA,50,Clay,1.5,Dry,12,0.00012066,0.000107,88.67893253770927,0.01051,0.00031471,0.0001866,59.29268215182232,0.03657,0.00045886,0.0004549,99.13699167502071,0.0002292
49,5.0,Low,25,20,30,DTPA,200,Clay,1.5,Dry,12,0.00012066,6.444e-05,53.40626553953257,0.007214,0.00031471,1.051e-06,0.3339582472752693,0.0002348,0.00045886,0.00031,67.55873251100553,0.000178
50,5.0,Low,25,20,30,None,0,Clay,1.5,Mesic,8,0.00012066,0.0001071,88.76181004475386,0.009799,0.00031471,0.0003119,99.10711448635251,0.05693,0.00045886,0.0004554,99.2459573726191,0.0002137
51,5.0,Low,25,20,30,EDTA,50,Clay,1.5,Mesic,8,0.00012066,9.183e-05,76.10641471904525,0.009262,0.00031471,0.0001607,51.062883289377524,0.03234,0.00045886,0.0004541,98.96264655886327,0.0002349
52,5.0,Low,25,20,30,EDTA,200,Clay,1.5,Mesic,8,0.00012066,1.551e-06,1.2854301342615615,0.000182,0.00031471,8.083e-07,0.25683963013568045,0.0001892,0.00045886,0.0002058,44.850281131499806,0.0001238
53,5.0,Low,25,20,30,Citrate,50,Clay,1.5,Mesic,8,0.00012066,6.708e-05,55.5942317255097,0.007004,0.00031471,0.0001308,41.56207301960536,0.02724,0.00045886,0.0004283,93.34001656278603,0.0002294
