scenario_id,ph,pb_mg_L,chelator,dose_mg_L,texture,moisture,pe,hfo_sites,total_pb_mol,free_pb_mol,percent_free,sorbed_pb_mol
50,6.5,50,Citrate,100,Loam,Wet,3,0.5,0.00024131,5.85e-06,2.4242675396792506,0.08136
51,6.5,50,None,0,Clay,Mesic,8,1.5,0.00024131,0.0001507,62.450789440968045,0.5617
52,6.5,50,EDTA,25,Clay,Mesic,8,1.5,0.00024131,9.668e-05,40.06464713439144,0.5271
53,6.5,50,EDTA,100,Clay,Mesic,8,1.5,0.00024131,1.151e-10,4.7697981849073806e-05,1.372e-05
54,6.5,50,Citrate,25,Clay,Mesic,8,1.5,0.00024131,7.581e-05,31.416020885997263,0.5068
55,6.5,50,Citrate,100,Clay,Mesic,8,1.5,0.00024131,5.85e-06,2.4242675396792506,0.2441
56,6.5,50,None,0,Clay,Wet,3,1.5,0.00024131,0.0001507,62.450789440968045,0.5617
57,6.5,50,EDTA,25,Clay,Wet,3,1.5,0.00024131,9.668e-05,40.06464713439144,0.5271
58,6.5,50,EDTA,100,Clay,Wet,3,1.5,0.00024131,1.151e-10,4.7697981849073806e-05,1.372e-05
59,6.5,50,Citrate,25,Clay,Wet,3,1.5,0.00024131,7.581e-05,31.416020885997263,0.5068
60,6.5,50,Citrate,100,Clay,Wet,3,1.5,0.00024131,5.85e-06,2.4242675396792506,0.2441
61,6.5,150,None,0,Loam,Mesic,8,0.5,0.00072394,0.0004691,64.79818769511286,0.2104
62,6.5,150,EDTA,25,Loam,Mesic,8,0.5,0.00072394,0.0004116,56.855540514407274,0.2081
63,6.5,150,EDTA,100,Loam,Mesic,8,0.5,0.00072394,0.0002422,33.45581125507639,0.1977
64,6.5,150,Citrate,25,Loam,Mesic,8,0.5,0.00072394,0.000382,52.766803878774496,0.2068
65,6.5,150,Citrate,100,Loam,Mesic,8,0.5,0.00072394,0.0001408,19.449125618145153,0.1855
66,6.5,150,None,0,Loam,Wet,3,0.5,0.00072394,0.0004691,64.79818769511286,0.2104
67,6.5,150,EDTA,25,Loam,Wet,3,0.5,0.00072394,0.0004116,56.855540514407274,0.2081
68,6.5,150,EDTA,100,Loam,Wet,3,0.5,0.00072394,0.0002422,33.45581125507639,0.1977
69,6.5,150,Citrate,25,Loam,Wet,3,0.5,0.00072394,0.000382,52.766803878774496,0.2068
70,6.5,150,Citrate,100,Loam,Wet,3,0.5,0.00072394,0.0001408,19.449125618145153,0.1855
71,6.5,150,None,0,Clay,Mesic,8,1.5,0.00072394,0.0004691,64.79818769511286,0.6312
72,6.5,150,EDTA,25,Clay,Mesic,8,1.5,0.00072394,0.0004116,56.855540514407274,0.6243
73,6.5,150,EDTA,100,Clay,Mesic,8,1.5,0.00072394,0.0002422,33.45581125507639,0.5931
74,6.5,150,Citrate,25,Clay,Mesic,8,1.5,0.00072394,0.000382,52.766803878774496,0.6205
75,6.5,150,Citrate,100,Clay,Mesic,8,1.5,0.00072394,0.0001408,19.449125618145153,0.5564
76,6.5,150,None,0,Clay,Wet,3,1.5,0.00072394,0.0004691,64.79818769511286,0.6312
77,6.5,150,EDTA,25,Clay,Wet,3,1.5,0.00072394,0.0004116,56.855540514407274,0.6243
78,6.5,150,EDTA,100,Clay,Wet,3,1.5,0.00072394,0.0002422,33.45581125507639,0.5931
79,6.5,150,Citrate,25,Clay,Wet,3,1.5,0.00072394,0.000382,52.766803878774496,0.6205
80,6.5,150,Citrate,100,Clay,Wet,3,1.5,0.00072394,0.0001408,19.449125618145153,0.5564
81,7.5,50,None,0,Loam,Mesic,8,0.5,0.00024131,5.639e-05,23.368281463677427,0.2373
82,7.5,50,EDTA,25,Loam,Mesic,8,0.5,0.00024131,3.536e-05,14.65335046206125,0.2342
83,7.5,50,EDTA,100,Loam,Mesic,8,0.5,0.00024131,1.145e-10,4.744933902449132e-05,0.0003184
84,7.5,50,Citrate,25,Loam,Mesic,8,0.5,0.00024131,3.089e-05,12.800961418921716,0.2332
85,7.5,50,Citrate,100,Loam,Mesic,8,0.5,0.00024131,5.091e-06,2.1097343665824044,0.2118
86,7.5,50,None,0,Loam,Wet,3,0.5,0.00024131,5.639e-05,23.368281463677427,0.2373
87,7.5,50,EDTA,25,Loam,Wet,3,0.5,0.00024131,3.536e-05,14.65335046206125,0.2342
88,7.5,50,EDTA,100,Loam,Wet,3,0.5,0.00024131,1.145e-10,4.744933902449132e-05,0.0003184
89,7.5,50,Citrate,25,Loam,Wet,3,0.5,0.00024131,3.089e-05,12.800961418921716,0.2332
90,7.5,50,Citrate,100,Loam,Wet,3,0.5,0.00024131,5.091e-06,2.1097343665824044,0.2118
91,7.5,50,None,0,Clay,Mesic,8,1.5,0.00024131,5.639e-05,23.368281463677427,0.712
92,7.5,50,EDTA,25,Clay,Mesic,8,1.5,0.00024131,3.536e-05,14.65335046206125,0.7025
93,7.5,50,EDTA,100,Clay,Mesic,8,1.5,0.00024131,1.145e-10,4.744933902449132e-05,0.0009551
94,7.5,50,Citrate,25,Clay,Mesic,8,1.5,0.00024131,3.089e-05,12.800961418921716,0.6994
95,7.5,50,Citrate,100,Clay,Mesic,8,1.5,0.00024131,5.091e-06,2.1097343665824044,0.6353
96,7.5,50,None,0,Clay,Wet,3,1.5,0.00024131,5.639e-05,23.368281463677427,0.712
97,7.5,50,EDTA,25,Clay,Wet,3,1.5,0.00024131,3.536e-05,14.65335046206125,0.7025
98,7.5,50,EDTA,100,Clay,Wet,3,1.5,0.00024131,1.145e-10,4.744933902449132e-05,0.0009551
99,7.5,50,Citrate,25,Clay,Wet,3,1.5,0.00024131,3.089e-05,12.800961418921716,0.6994
100,7.5,50,Citrate,100,Clay,Wet,3,1.5,0.00024131,5.091e-06,2.1097343665824044,0.6353
101,7.5,150,None,0,Loam,Mesic,8,0.5,0.00072394,0.000181,25.002071994916708,0.2428
102,7.5,150,EDTA,25,Loam,Mesic,8,0.5,0.00072394,0.0001608,22.211785507086223,0.2424
103,7.5,150,EDTA,100,Loam,Mesic,8,0.5,0.00072394,9.397e-05,12.980357488189629,0.24
104,7.5,150,Citrate,25,Loam,Mesic,8,0.5,0.00072394,0.0001507,20.816642263170984,0.2421
105,7.5,150,Citrate,100,Loam,Mesic,8,0.5,0.00072394,6.087e-05,8.408155371992155,0.2378
106,7.5,150,None,0,Loam,Wet,3,0.5,0.00072394,0.000181,25.002071994916708,0.2428
107,7.5,150,EDTA,25,Loam,Wet,3,0.5,0.00072394,0.0001608,22.211785507086223,0.2424
108,7.5,150,EDTA,100,Loam,Wet,3,0.5,0.00072394,9.397e-05,12.980357488189629,0.24
109,7.5,150,Citrate,25,Loam,Wet,3,0.5,0.00072394,0.0001507,20.816642263170984,0.2421
110,7.5,150,Citrate,100,Loam,Wet,3,0.5,0.00072394,6.087e-05,8.408155371992155,0.2378
111,7.5,150,None,0,Clay,Mesic,8,1.5,0.00072394,0.000181,25.002071994916708,0.7283
112,7.5,150,EDTA,25,Clay,Mesic,8,1.5,0.00072394,0.0001608,22.211785507086223,0.727
113,7.5,150,EDTA,100,Clay,Mesic,8,1.5,0.00072394,9.397e-05,12.980357488189629,0.7201
114,7.5,150,Citrate,25,Clay,Mesic,8,1.5,0.00072394,0.0001507,20.816642263170984,0.7263
115,7.5,150,Citrate,100,Clay,Mesic,8,1.5,0.00072394,6.087e-05,8.408155371992155,0.7133
116,7.5,150,None,0,Clay,Wet,3,1.5,0.00072394,0.000181,25.002071994916708,0.7283
117,7.5,150,EDTA,25,Clay,Wet,3,1.5,0.00072394,0.0001608,22.211785507086223,0.727
118,7.5,150,EDTA,100,Clay,Wet,3,1.5,0.00072394,9.397e-05,12.980357488189629,0.7201
119,7.5,150,Citrate,25,Clay,Wet,3,1.5,0.00072394,0.0001507,20.816642263170984,0.7263
120,7.5,150,Citrate,100,Clay,Wet,3,1.5,0.00072394,6.087e-05,8.408155371992155,0.7133
