scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,chelator,dose_mg_L,texture,texture_sites,moisture,pe,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol
23,5.0,Low,25,20,30,EDTA,10,Loam,0.5,Dry,12,0.00012066,0.000105,87.0213823968175,0.003266,0.00031471,0.0002804,89.09789965364938,0.0174,0.00045886,0.0004552,99.20237109357974,7.26e-05
24,5.0,Low,25,20,30,EDTA,50,Loam,0.5,Dry,12,0.00012066,9.183e-05,76.10641471904525,0.003089,0.00031471,0.0001607,51.062883289377524,0.01079,0.00045886,0.0004541,98.96264655886327,7.834e-05
25,5.0,Low,25,20,30,EDTA,150,Loam,0.5,Dry,12,0.00012066,7.284e-06,6.036797613127797,0.0002836,0.00031471,3.972e-06,1.2621143274760893,0.0003086,0.00045886,0.000366,79.76289064202588,7.308e-05
26,5.0,Low,25,20,30,Citrate,10,Loam,0.5,Dry,12,0.00012066,0.0001005,83.29189457981104,0.003149,0.00031471,0.0002711,86.14279813161322,0.01695,0.00045886,0.0004522,98.54857690798936,7.27e-05
27,5.0,Low,25,20,30,Citrate,50,Loam,0.5,Dry,12,0.00012066,6.708e-05,55.5942317255097,0.002336,0.00031471,0.0001308,41.56207301960536,0.009088,0.00045886,0.0004283,93.34001656278603,7.65e-05
28,5.0,Low,25,20,30,Citrate,150,Loam,0.5,Dry,12,0.00012066,9.934e-06,8.233051549809382,0.0003909,0.00031471,1.296e-05,4.118076959740714,0.001017,0.00045886,0.0002237,48.75125310552238,4.514e-05
29,5.0,Low,25,20,30,None,0,Loam,0.5,Mesic,8,0.00012066,0.0001071,88.76181004475386,0.003269,0.00031471,0.0003119,99.10711448635251,0.01899,0.00045886,0.0004554,99.2459573726191,7.127e-05
30,5.0,Low,25,20,30,EDTA,10,Loam,0.5,Mesic,8,0.00012066,0.000105,87.0213823968175,0.003266,0.00031471,0.0002804,89.09789965364938,0.0174,0.00045886,0.0004552,99.20237109357974,7.26e-05
31,5.0,Low,25,20,30,EDTA,50,Loam,0.5,Mesic,8,0.00012066,9.183e-05,76.10641471904525,0.003089,0.00031471,0.0001607,51.062883289377524,0.01079,0.00045886,0.0004541,98.96264655886327,7.834e-05
32,5.0,Low,25,20,30,EDTA,150,Loam,0.5,Mesic,8,0.00012066,7.284e-06,6.036797613127797,0.0002836,0.00031471,3.972e-06,1.2621143274760893,0.0003086,0.00045886,0.000366,79.76289064202588,7.308e-05
33,5.0,Low,25,20,30,Citrate,10,Loam,0.5,Mesic,8,0.00012066,0.0001005,83.29189457981104,0.003149,0.00031471,0.0002711,86.14279813161322,0.01695,0.00045886,0.0004522,98.54857690798936,7.27e-05
34,5.0,Low,25,20,30,Citrate,50,Loam,0.5,Mesic,8,0.00012066,6.708e-05,55.5942317255097,0.002336,0.00031471,0.0001308,41.56207301960536,0.009088,0.00045886,0.0004283,93.34001656278603,7.651e-05
35,5.0,Low,25,20,30,Citrate,150,Loam,0.5,Mesic,8,0.00012066,9.934e-06,8.233051549809382,0.0003909,0.00031471,1.296e-05,4.118076959740714,0.001017,0.00045886,0.0002237,48.75125310552238,4.514e-05
36,5.0,Low,25,20,30,None,0,Loam,0.5,Wet,3,0.00012066,0.0001077,89.25907508702139,0.003847,0.00031471,7.834e-05,24.89275841250675,0.005584,0.00045886,0.0004556,99.28954365165846,8.347e-05
37,5.0,Low,25,20,30,EDTA,10,Loam,0.5,Wet,3,0.00012066,0.0001011,83.78915962207857,0.003635,0.00031471,7.141e-05,22.690731149312064,0.005124,0.00045886,0.000455,99.15878481454038,8.392e-05
38,5.0,Low,25,20,30,EDTA,50,Loam,0.5,Wet,3,0.00012066,7.201e-05,59.680092822807886,0.002661,0.00031471,4.546e-05,14.445044644275685,0.003351,0.00045886,0.0004516,98.4178180708713,8.556e-05
39,5.0,Low,25,20,30,EDTA,150,Loam,0.5,Wet,3,0.00012066,6.47e-06,5.362174705784851,0.0002522,0.00031471,3.382e-06,1.0746401448953005,0.000263,0.00045886,0.0003565,77.69254238765636,7.128e-05
40,5.0,Low,25,20,30,Citrate,10,Loam,0.5,Wet,3,0.00012066,9.278e-05,76.89375103596883,0.003351,0.00031471,7.137e-05,22.678021035238793,0.005143,0.00045886,0.000448,97.63326504816283,8.298e-05
41,5.0,Low,25,20,30,Citrate,50,Loam,0.5,Wet,3,0.00012066,4.854e-05,40.22874191944306,0.001822,0.00031471,4.519e-05,14.359251374281085,0.003384,0.00045886,0.0004038,88.00069738046463,7.772e-05
42,5.0,Low,25,20,30,Citrate,150,Loam,0.5,Wet,3,0.00012066,8.941e-06,7.410077904856621,0.0003532,0.00031471,1.037e-05,3.295097073496235,0.0008172,0.00045886,0.0002106,45.8963518284444,4.266e-05
43,5.0,Low,25,20,30,None,0,Clay,1.5,Dry,12,0.00012066,0.0001071,88.76181004475386,0.009799,0.00031471,0.0003119,99.10711448635251,0.05693,0.00045886,0.0004554,99.2459573726191,0.0002137
44,5.0,Low,25,20,30,EDTA,10,Clay,1.5,Dry,12,0.00012066,0.000105,87.0213823968175,0.009791,0.00031471,0.0002804,89.09789965364938,0.05217,0.00045886,0.0004552,99.20237109357974,0.0002177
45,5.0,Low,25,20,30,EDTA,50,Clay,1.5,Dry,12,0.00012066,9.183e-05,76.10641471904525,0.009262,0.00031471,0.0001607,51.062883289377524,0.03234,0.00045886,0.0004541,98.96264655886327,0.0002349
46,5.0,Low,25,20,30,EDTA,150,Clay,1.5,Dry,12,0.00012066,7.284e-06,6.036797613127797,0.0008502,0.00031471,3.972e-06,1.2621143274760893,0.000925,0.00045886,0.000366,79.76289064202588,0.0002191
47,5.0,Low,25,20,30,Citrate,10,Clay,1.5,Dry,12,0.00012066,0.0001005,83.29189457981104,0.009441,0.00031471,0.0002711,86.14279813161322,0.05083,0.00045886,0.0004522,98.54857690798936,0.000218
48,5.0,Low,25,20,30,Citrate,50,Clay,1.5,Dry,12,0.00012066,6.708e-05,55.5942317255097,0.007004,0.00031471,0.0001308,41.56207301960536,0.02725,0.00045886,0.0004283,93.34001656278603,0.0002294
49,5.0,Low,25,20,30,Citrate,150,Clay,1.5,Dry,12,0.00012066,9.934e-06,8.233051549809382,0.001172,0.00031471,1.296e-05,4.118076959740714,0.00305,0.00045886,0.0002237,48.75125310552238,0.0001353
50,5.0,Low,25,20,30,None,0,Clay,1.5,Mesic,8,0.00012066,0.0001071,88.76181004475386,0.009799,0.00031471,0.0003119,99.10711448635251,0.05693,0.00045886,0.0004554,99.2459573726191,0.0002137
51,5.0,Low,25,20,30,EDTA,10,Clay,1.5,Mesic,8,0.00012066,0.000105,87.0213823968175,0.009792,0.00031471,0.0002804,89.09789965364938,0.05217,0.00045886,0.0004552,99.20237109357974,0.0002177
52,5.0,Low,25,20,30,EDTA,50,Clay,1.5,Mesic,8,0.00012066,9.183e-05,76.10641471904525,0.009262,0.00031471,0.0001607,51.062883289377524,0.03234,0.00045886,0.0004541,98.96264655886327,0.0002349
53,5.0,Low,25,20,30,EDTA,150,Clay,1.5,Mesic,8,0.00012066,7.284e-06,6.036797613127797,0.0008502,0.00031471,3.972e-06,1.2621143274760893,0.000925,0.00045886,0.000366,79.76289064202588,0.0002191
